UID,SHS_Score,H_pct,E_pct,Length
Q477Z5,1.8974,94.87,0.0,156
A4Y191,1.8974,94.87,0.0,156
Q14K10,1.8974,94.87,0.0,156
A7NEH8,1.8974,94.87,0.0,156
A4IW20,1.8974,94.87,0.0,156
A3DAR8,1.8974,94.87,0.0,156
A0L2T2,1.8974,94.87,0.0,156
A8G1W9,1.8974,94.87,0.0,156
A4VS66,1.8974,94.87,0.0,156
Q0HD75,1.8974,94.87,0.0,156
A8G7M4,1.8974,94.87,0.0,156
A1SBU4,1.8974,94.87,0.0,156
P09495,1.8952,94.76,0.0,248
Q6IRU2,1.8952,94.76,0.0,248
P67936,1.8952,94.76,0.0,248
Q63610,1.8952,94.76,0.0,248
O96764,1.8947,94.74,0.0,285
P31816,1.894,94.7,0.0,283
Q8YUS9,1.8915,94.57,0.0,129
O61379,1.8905,94.53,0.0,274
Q25456,1.8905,94.53,0.0,274
Q07H89,1.8902,94.51,0.0,164
Q1HPQ0,1.8877,94.39,0.0,285
C0SP89,1.8859,94.3,0.0,561
P40779,1.8857,94.29,0.0,140
Q07VU0,1.8846,94.23,0.0,156
A3QJR4,1.8846,94.23,0.0,156
B5RFV9,1.8846,94.23,0.0,156
Q65Q03,1.8846,94.23,0.0,156
A8ACP2,1.8846,94.23,0.0,156
Q1QSC6,1.8846,94.23,0.0,156
A1U7H8,1.8846,94.23,0.0,156
B5XZM0,1.8846,94.23,0.0,156
Q5X0N9,1.8846,94.23,0.0,156
Q0I5W9,1.8846,94.23,0.0,156
Q48AW4,1.8846,94.23,0.0,156
A7N0Y5,1.8846,94.23,0.0,156
A6VL61,1.8846,94.23,0.0,156
Q6LLG4,1.8846,94.23,0.0,156
Q87KA4,1.8846,94.23,0.0,156
A7FPE4,1.8846,94.23,0.0,156
B2I864,1.8846,94.23,0.0,156
Q7NA90,1.8846,94.23,0.0,156
B4F0E3,1.8846,94.23,0.0,156
A4STP7,1.8846,94.23,0.0,156
Q2YCA7,1.8846,94.23,0.0,156
Q6CYJ1,1.8846,94.23,0.0,156
Q9CKW4,1.8846,94.23,0.0,156
B4SJS3,1.8846,94.23,0.0,156
B2FHZ2,1.8846,94.23,0.0,156
B5EZ00,1.8846,94.23,0.0,156
B0TQF8,1.8846,94.23,0.0,156
A5UA07,1.8846,94.23,0.0,156
A7MMX3,1.8846,94.23,0.0,156
A7ZTU8,1.8846,94.23,0.0,156
A4WGF1,1.8846,94.23,0.0,156
A1WZT5,1.8846,94.23,0.0,156
A5UGZ3,1.8846,94.23,0.0,156
Q4QN60,1.8846,94.23,0.0,156
A5F475,1.8846,94.23,0.0,156
Q4FQ33,1.8846,94.23,0.0,156
P12989,1.8846,94.23,0.0,156
Q1Q895,1.8846,94.23,0.0,156
A8HAG7,1.8846,94.23,0.0,156
B1KQ38,1.8846,94.23,0.0,156
Q12HP7,1.8846,94.23,0.0,156
Q2NQ90,1.8846,94.23,0.0,156
Q8DDH2,1.8846,94.23,0.0,156
B2VCA8,1.8846,94.23,0.0,156
Q9U5M4,1.8805,94.02,0.0,251
Q9NDS0,1.8803,94.01,0.0,284
A4Z2B7,1.878,93.9,0.0,164
A5EAB1,1.8773,93.87,0.0,163
Q3SW38,1.8758,93.79,0.0,161
A9CK01,1.8758,93.79,0.0,161
B0ULY4,1.8758,93.79,0.0,161
Q89V71,1.8758,93.79,0.0,161
Q1QRI1,1.8758,93.79,0.0,161
A6U6M7,1.8758,93.79,0.0,161
A6WW80,1.8742,93.71,0.0,159
Q60CR8,1.8726,93.63,0.0,157
Q48BG1,1.8718,93.59,0.0,156
Q4K3A5,1.8718,93.59,0.0,156
A6W3T2,1.8718,93.59,0.0,156
Q21DK4,1.8718,93.59,0.0,156
Q1LTV0,1.8718,93.59,0.0,156
A5EXJ9,1.8718,93.59,0.0,156
Q2S6N7,1.8718,93.59,0.0,156
Q7VPP4,1.8718,93.59,0.0,156
B0TWS3,1.8718,93.59,0.0,156
Q87TT0,1.8718,93.59,0.0,156
Q4ZL20,1.8718,93.59,0.0,156
B0KRB2,1.8718,93.59,0.0,156
Q88BX0,1.8718,93.59,0.0,156
Q02DF0,1.8718,93.59,0.0,156
A7N2U5,1.8718,93.59,0.0,156
Q0A4M4,1.8718,93.59,0.0,156
Q0VKX0,1.8718,93.59,0.0,156
A3N2U8,1.8718,93.59,0.0,156
B3H2P7,1.8718,93.59,0.0,156
Q1I2I3,1.8718,93.59,0.0,156
A6VF36,1.8718,93.59,0.0,156
A5WBA7,1.8718,93.59,0.0,156
Q3K437,1.8718,93.59,0.0,156
Q5FRW8,1.8675,93.37,0.0,166
O32239,1.8657,93.29,0.0,566
A7IGS7,1.865,93.25,0.0,163
P15492,1.865,93.25,0.0,548
P08041,1.8642,93.21,0.0,162
A9VYW7,1.8642,93.21,0.0,162
B1ZJN2,1.8642,93.21,0.0,162
Q9X0M7,1.8642,93.21,0.0,530
B1LWM0,1.8642,93.21,0.0,162
B6JDC7,1.8634,93.17,0.0,161
Q92RM5,1.8634,93.17,0.0,161
B2IGK8,1.8634,93.17,0.0,161
A5W2C8,1.8632,93.16,0.0,541
Q60376,1.8624,93.12,0.0,189
P13392,1.8608,93.04,0.0,848
A5CVF9,1.8599,92.99,0.0,157
A1AXU6,1.8599,92.99,0.0,157
P84335,1.8592,92.96,0.0,284
Q01173,1.8592,92.96,0.0,284
P13105,1.8592,92.96,0.0,284
Q31DL6,1.859,92.95,0.0,156
P39921,1.8577,92.89,0.0,253
O67453,1.8556,92.78,0.0,180
A8HT73,1.8537,92.68,0.0,164
Q13CX4,1.8528,92.64,0.0,163
Q6NBI5,1.8528,92.64,0.0,163
Q2IRA3,1.8528,92.64,0.0,163
P06753,1.8526,92.63,0.0,285
Q5KR48,1.8521,92.61,0.0,284
A1XQV4,1.8521,92.61,0.0,284
P13104,1.8521,92.61,0.0,284
P09493,1.8521,92.61,0.0,284
P04268,1.8521,92.61,0.0,284
P58771,1.8521,92.61,0.0,284
P42639,1.8521,92.61,0.0,284
P07951,1.8521,92.61,0.0,284
Q5KR49,1.8521,92.61,0.0,284
O96064,1.8519,92.59,0.0,864
B6YR08,1.8519,92.59,0.0,162
Q1MKS9,1.8519,92.59,0.0,162
Q9X0N0,1.8516,92.58,0.0,539
Q8D3J7,1.8509,92.55,0.0,161
A7HQY4,1.8509,92.55,0.0,161
Q28995,1.8505,92.52,0.0,107
Q9Z429,1.8476,92.38,0.0,538
B0JWU8,1.8462,92.31,0.0,143
B2J055,1.8462,92.31,0.0,143
B1WUH9,1.8462,92.31,0.0,143
B7KKR7,1.8462,92.31,0.0,143
Q89B43,1.8462,92.31,0.0,156
Q5KR47,1.8451,92.25,0.0,284
B0BZK9,1.8451,92.25,0.0,142
Q07068,1.8451,92.25,0.0,284
Q05000,1.8439,92.2,0.0,692
Q60UW4,1.8438,92.19,0.0,256
Q27249,1.8438,92.19,0.0,256
Q20X01,1.8415,92.07,0.0,164
Q6G0H0,1.8415,92.07,0.0,164
A7NIR3,1.8405,92.02,0.0,163
A5UQN7,1.8405,92.02,0.0,163
B5ZS19,1.8405,92.02,0.0,163
B3PRF9,1.8405,92.02,0.0,163
Q2KBV8,1.8405,92.02,0.0,163
Q88E10,1.8404,92.02,0.0,639
A9NGW6,1.84,92.0,0.0,175
O29107,1.8393,91.96,0.0,112
P21107,1.8386,91.93,0.0,285
P57120,1.8385,91.93,0.0,161
Q494C7,1.8375,91.88,0.0,160
P04462,1.8366,91.83,0.0,257
P41172,1.8365,91.82,0.0,159
B7JB88,1.8365,91.82,0.0,159
P35418,1.8355,91.77,0.0,863
A8IRJ7,1.834,91.7,0.0,482
Q8T305,1.8331,91.66,0.0,863
Q88JK6,1.8327,91.64,0.0,550
Q5T655,1.8326,91.63,0.0,872
B7K5I5,1.8322,91.61,0.0,143
Q85FR1,1.8322,91.61,0.0,143
P27183,1.8322,91.61,0.0,143
P19352,1.831,91.55,0.0,284
P43047,1.8298,91.49,0.0,470
A9WGS8,1.8293,91.46,0.0,164
B3EU96,1.8293,91.46,0.0,164
Q8KA41,1.8289,91.45,0.0,152
P35417,1.8285,91.43,0.0,863
Q9HGN4,1.8278,91.39,0.0,151
Q88D09,1.8276,91.38,0.0,638
Q9HUB1,1.8269,91.34,0.0,647
Q57676,1.8269,91.35,0.0,104
Q2RPA6,1.8261,91.3,0.0,161
P0DW01,1.8255,91.27,0.0,550
B6IX47,1.825,91.25,0.0,160
Q05870,1.8245,91.22,0.0,866
B1KSS4,1.8239,91.19,0.0,159
O05098,1.8239,91.19,0.0,159
Q0SQZ1,1.8239,91.19,0.0,159
A0Q2Z8,1.8239,91.19,0.0,159
Q0TNC0,1.8239,91.19,0.0,159
Q3A942,1.8239,91.19,0.0,159
B2UZJ6,1.8239,91.19,0.0,159
A7FQH5,1.8239,91.19,0.0,159
B1IE30,1.8239,91.19,0.0,159
B2RW38,1.8236,91.18,0.0,873
P06198,1.8199,90.99,0.0,866
Q5LD84,1.8182,90.91,0.0,165
A9AVV0,1.8171,90.85,0.0,164
P0CZ92,1.8171,90.85,0.0,164
B4U2D7,1.8171,90.85,0.0,164
B5XKP7,1.8171,90.85,0.0,164
Q5XCY4,1.8171,90.85,0.0,164
Q1JCL7,1.8171,90.85,0.0,164
A8AYG5,1.8171,90.85,0.0,164
Q9A0J1,1.8171,90.85,0.0,164
Q04HT5,1.8171,90.85,0.0,164
A3CM10,1.8171,90.85,0.0,164
Q9X170,1.8166,90.83,0.0,338
O51876,1.816,90.8,0.0,163
O15697,1.8146,90.73,0.0,453
P38477,1.8142,90.71,0.0,183
Q5WB74,1.8137,90.68,0.0,161
Q7VQW0,1.8137,90.68,0.0,161
P11778,1.8115,90.57,0.0,244
A6LQH2,1.8113,90.57,0.0,159
B0TI54,1.8107,90.53,0.0,169
Q2KIQ2,1.8101,90.51,0.0,495
B4RF13,1.8084,90.42,0.0,167
P24079,1.8058,90.29,0.0,103
P06754,1.8053,90.27,0.0,339
A0M6G6,1.8049,90.24,0.0,164
Q9X1U9,1.8049,90.24,0.0,164
Q6G5K9,1.8049,90.24,0.0,164
A9HDM4,1.8049,90.24,0.0,164
A4XKX4,1.8037,90.18,0.0,163
A9BFX7,1.8037,90.18,0.0,163
Q95XR4,1.8029,90.14,0.0,690
P10567,1.8028,90.14,0.0,872
A5CYE6,1.8025,90.12,0.0,162
Q03A22,1.8025,90.12,0.0,162
B3WDL4,1.8025,90.12,0.0,162
Q9NJA9,1.8021,90.1,0.0,869
P0ACX1,1.8018,90.09,0.0,111
P42258,1.8014,90.07,0.0,433
Q57674,1.8,90.0,0.0,220
O97557,1.7979,89.89,0.0,188
A6TK61,1.7976,89.88,0.0,168
Q2RFX5,1.7976,89.88,0.0,168
Q7ZW57,1.7964,89.82,0.0,334
Q11YP3,1.7964,89.82,0.0,167
P41671,1.7962,89.81,0.0,157
A5FL32,1.7952,89.76,0.0,166
A6L8N7,1.7952,89.76,0.0,166
A6L4M2,1.7952,89.76,0.0,166
A6NGB0,1.7947,89.74,0.0,302
Q08786,1.7946,89.73,0.0,185
Q9CNC5,1.7945,89.72,0.0,399
Q8MUF6,1.7943,89.71,0.0,875
Q5M108,1.7939,89.7,0.0,165
C0H4K2,1.7939,89.69,0.0,262
Q3K1J9,1.7939,89.7,0.0,165
P43969,1.7937,89.68,0.0,349
Q96B45,1.7925,89.62,0.0,106
Q61884,1.7923,89.61,0.0,491
Q31673,1.792,89.6,0.0,125
P48324,1.7912,89.56,0.0,182
P97779,1.7912,89.56,0.0,498
Q3TVW5,1.7907,89.54,0.0,497
B2A3G6,1.7901,89.51,0.0,162
Q9K6H1,1.7901,89.51,0.0,162
Q67TC1,1.7901,89.51,0.0,162
P37781,1.7895,89.47,0.0,418
Q1PE49,1.7895,89.47,0.0,247
A6LJR5,1.7888,89.44,0.0,161
O28156,1.7887,89.44,0.0,142
Q6MAK3,1.7875,89.38,0.0,160
Q3AHK3,1.7875,89.38,0.0,160
Q6TMJ3,1.7871,89.36,0.0,357
B1H0B9,1.787,89.35,0.0,169
Q8NEH6,1.7859,89.29,0.0,495
P96720,1.7857,89.29,0.0,140
Q55153,1.7849,89.24,0.0,344
O34472,1.7847,89.24,0.0,353
Q9R9U8,1.7846,89.23,0.0,492
Q39490,1.7844,89.22,0.0,269
Q8A9U9,1.7844,89.22,0.0,167
Q9Y8K9,1.7838,89.19,0.0,111
B0R6A6,1.7835,89.17,0.0,545
P45374,1.7833,89.17,0.0,120
A6H2D9,1.7831,89.16,0.0,166
Q6AXQ8,1.7831,89.16,0.0,498
Q03583,1.7828,89.14,0.0,396
Q86RN8,1.7824,89.12,0.0,873
Q4R7T8,1.7818,89.09,0.0,495
Q2T9Z6,1.7818,89.09,0.0,724
P95785,1.7818,89.09,0.0,165
Q24MN7,1.7805,89.02,0.0,164
O07516,1.7797,88.98,0.0,118
P40294,1.7792,88.96,0.0,154
Q9HPR6,1.7791,88.96,0.0,489
P22481,1.7791,88.96,0.0,163
P0AFJ0,1.779,88.95,0.0,353
Q9T1Q1,1.7789,88.95,0.0,190
P27358,1.7778,88.89,0.0,153
Q0BQY4,1.7778,88.89,0.0,171
Q9ZCT3,1.7778,88.89,0.0,351
P39855,1.7778,88.89,0.0,396
P55439,1.7775,88.88,0.0,845
Q02171,1.777,88.85,0.0,879
Q06089,1.7764,88.82,0.0,161
A7HJW1,1.7764,88.82,0.0,161
Q810N9,1.7753,88.76,0.0,267
Q7U8W7,1.775,88.75,0.0,160
Q3AZM3,1.775,88.75,0.0,160
P07018,1.7749,88.74,0.0,533
Q9D439,1.7743,88.72,0.0,514
P0AAA7,1.774,88.7,0.0,416
A4W1W1,1.7738,88.69,0.0,168
Q49VC5,1.7738,88.69,0.0,451
O34418,1.7736,88.68,0.0,106
Q66I67,1.7727,88.64,0.0,132
Q10085,1.7714,88.57,0.0,455
O94470,1.771,88.55,0.0,131
Q7XJ96,1.7707,88.54,0.0,471
Q9A0E3,1.7699,88.5,0.0,113
Q9BMM8,1.7694,88.47,0.0,876
P43457,1.7692,88.46,0.0,156
Q9CN32,1.7692,88.46,0.0,130
D1A4H0,1.7692,88.46,0.0,104
Q48457,1.7691,88.45,0.0,485
Q46841,1.769,88.45,0.0,355
P22403,1.7687,88.44,0.0,147
A9IQI8,1.7683,88.41,0.0,164
A8HUA1,1.7683,88.41,0.0,863
D4GU68,1.7669,88.35,0.0,472
B1I6L8,1.7669,88.34,0.0,163
Q8RGD8,1.7669,88.34,0.0,163
Q8KRV2,1.7669,88.34,0.0,163
Q9XF62,1.7658,88.29,0.0,111
P15518,1.7656,88.28,0.0,273
A8F3J8,1.7654,88.27,0.0,162
G3XDA3,1.7641,88.2,0.0,568
P29705,1.7638,88.19,0.0,127
Q9D478,1.7632,88.16,0.0,642
A4IJ21,1.7631,88.15,0.0,498
Q5RE49,1.7631,88.15,0.0,498
O66688,1.7622,88.11,0.0,143
P52112,1.7615,88.07,0.0,109
P21823,1.7612,88.06,0.0,536
P74858,1.76,88.0,0.0,125
Q54TC6,1.7595,87.97,0.0,158
Q9HUW6,1.7595,87.98,0.0,657
Q01202,1.7591,87.95,0.0,880
P37746,1.759,87.95,0.0,415
Q9U2T3,1.758,87.9,0.0,281
B2KEW8,1.7576,87.88,0.0,165
Q180X1,1.7576,87.88,0.0,165
P76158,1.7576,87.88,0.0,165
O66525,1.7576,87.88,0.0,132
P54181,1.7573,87.87,0.0,445
Q60375,1.7569,87.85,0.0,181
Q9ZJD5,1.7568,87.84,0.0,148
D4GYG8,1.7563,87.82,0.0,476
P70952,1.7561,87.8,0.0,164
F1QNW4,1.7558,87.79,0.0,475
Q96NL6,1.7558,87.79,0.0,688
Q83HY4,1.7558,87.79,0.0,172
Q8CJ99,1.7558,87.79,0.0,688
O57523,1.7557,87.79,0.0,262
Q91488,1.7557,87.79,0.0,262
Q58119,1.7556,87.78,0.0,450
Q9BT92,1.755,87.75,0.0,498
Q58578,1.7545,87.72,0.0,334
Q2YDH9,1.7538,87.69,0.0,260
O86234,1.7536,87.68,0.0,138
Q68XW4,1.7529,87.64,0.0,259
Q9ZE51,1.7529,87.64,0.0,259
O28815,1.7524,87.62,0.0,105
Q2KIB7,1.7524,87.62,0.0,105
Q9KT83,1.7522,87.61,0.0,113
P0DMT6,1.7519,87.6,0.0,258
Q58749,1.7517,87.59,0.0,145
A7WXS7,1.7511,87.55,0.0,233
Q96M91,1.751,87.55,0.0,514
Q5T0U0,1.7509,87.55,0.0,273
P45490,1.7508,87.54,0.0,321
P71399,1.7506,87.53,0.0,401
Q6FEY7,1.7506,87.53,0.0,449
C1CQY3,1.75,87.5,0.0,112
Q97Q59,1.75,87.5,0.0,112
Q2KIN6,1.75,87.5,0.0,176
P75565,1.75,87.5,0.0,104
P0A2Z0,1.75,87.5,0.0,168
Q04JX5,1.75,87.5,0.0,112
C1CEW1,1.75,87.5,0.0,112
Q3KPU6,1.75,87.5,0.0,256
P35415,1.7497,87.49,0.0,879
Q6AXT4,1.749,87.45,0.0,263
Q9Y592,1.7489,87.45,0.0,701
A4ITK4,1.7486,87.43,0.0,183
Q6FU40,1.7484,87.42,0.0,469
Q9LUH3,1.7484,87.42,0.0,469
O57524,1.7481,87.4,0.0,262
P42102,1.7478,87.39,0.0,230
P54214,1.7473,87.36,0.0,277
Q2YVH4,1.7472,87.36,0.0,451
Q6GJY2,1.7472,87.36,0.0,451
Q99WP2,1.7472,87.36,0.0,451
Q2FJS9,1.7472,87.36,0.0,451
Q6GCD7,1.7472,87.36,0.0,451
P44646,1.7471,87.36,0.0,348
P12037,1.7465,87.32,0.0,142
A5FVI7,1.7457,87.28,0.0,173
Q4UNC7,1.7452,87.26,0.0,259
Q1RGU3,1.7452,87.26,0.0,259
C0HK58,1.7451,87.25,0.0,204
Q02755,1.7441,87.2,0.0,547
P43437,1.7436,87.18,0.0,117
O26018,1.7432,87.16,0.0,148
P02539,1.7431,87.16,0.0,109
B0T010,1.7427,87.13,0.0,171
P64583,1.7426,87.13,0.0,101
Q5HLG0,1.7425,87.12,0.0,233
Q8CN53,1.7425,87.12,0.0,233
P51239,1.7422,87.11,0.0,287
Q132Z6,1.7419,87.1,0.0,124
B0UQ37,1.7419,87.1,0.0,124
A3PGP0,1.7419,87.1,0.0,124
P61394,1.7419,87.1,0.0,124
Q2MJU7,1.7419,87.1,0.0,124
Q2UE23,1.7414,87.07,0.0,116
Q5ASG4,1.7414,87.07,0.0,116
C0H450,1.7414,87.07,0.0,116
Q36098,1.7412,87.06,0.0,255
O34991,1.7412,87.06,0.0,371
Q8MT08,1.7411,87.06,0.0,479
O62238,1.7411,87.05,0.0,224
O14042,1.7407,87.04,0.0,216
Q8SQK7,1.7403,87.02,0.0,439
Q5QWR6,1.7403,87.01,0.0,462
P0C221,1.7402,87.01,0.0,793
P05704,1.7399,87.0,0.0,546
Q58467,1.7396,86.98,0.0,507
A5FRQ1,1.7396,86.98,0.0,169
Q3Z8Z6,1.7396,86.98,0.0,169
Q87MX4,1.7396,86.98,0.0,192
A7MVC5,1.7396,86.98,0.0,192
O66948,1.7394,86.97,0.0,353
Q39618,1.7391,86.96,0.0,276
Q7QB45,1.7391,86.96,0.0,138
A8FIC5,1.7391,86.96,0.0,184
P29652,1.7391,86.96,0.0,161
C0HLB3,1.7391,86.96,0.0,161
O31855,1.7389,86.95,0.0,452
A1JRJ8,1.7387,86.93,0.0,199
B3PLV4,1.7386,86.93,0.0,176
Q8NCX0,1.7384,86.92,0.0,1101
Q5KUH7,1.7377,86.89,0.0,183
Q92JD8,1.7375,86.87,0.0,259
P29648,1.7375,86.88,0.0,160
Q10173,1.737,86.85,0.0,441
Q1WUQ3,1.7368,86.84,0.0,114
Q6LQ49,1.7368,86.84,0.0,456
A8MJW3,1.7365,86.83,0.0,167
Q03V25,1.7365,86.83,0.0,167
A5D7M3,1.7364,86.82,0.0,478
O95995,1.7364,86.82,0.0,478
Q9I055,1.7363,86.82,0.0,531
P24729,1.7358,86.79,0.0,106
O82629,1.7358,86.79,0.0,106
P77377,1.7358,86.79,0.0,492
C6Y4A7,1.7358,86.79,0.0,106
Q1RM03,1.7355,86.77,0.0,499
Q8DPQ6,1.7351,86.75,0.0,453
Q97QN5,1.7351,86.75,0.0,453
Q7V5S4,1.7351,86.75,0.0,151
A2C6X2,1.7351,86.75,0.0,151
O32273,1.735,86.75,0.0,483
Q74K19,1.7349,86.75,0.0,166
Q042L1,1.7349,86.75,0.0,166
Q88BA2,1.7348,86.74,0.0,460
Q1J7B1,1.7345,86.73,0.0,113
B4U2K8,1.7345,86.73,0.0,113
C5DGT3,1.7345,86.73,0.0,113
C0MGL2,1.7345,86.73,0.0,113
Q8EIX5,1.7345,86.73,0.0,452
Q5SV66,1.7342,86.71,0.0,316
Q4A012,1.7339,86.7,0.0,233
A7ZI10,1.7339,88.48,1.78,729
Q2TBK4,1.7338,86.69,0.0,278
P49857,1.7333,86.67,0.0,105
P39590,1.7333,86.67,0.0,225
Q2RKA1,1.7333,86.67,0.0,120
Q8NB25,1.7333,86.67,0.0,1140
A0A1W5X0D5,1.733,86.65,0.0,352
O42363,1.7328,86.64,0.0,262
G5E861,1.7326,86.63,0.0,688
Q6PBA8,1.7325,86.63,0.0,486
Q499U4,1.7322,86.61,0.0,478
Q60779,1.7322,86.61,0.0,478
A8AXZ1,1.7321,86.61,0.0,112
P45030,1.7318,86.59,0.0,261
O07621,1.7315,86.57,0.0,432
B3QP89,1.7313,86.57,0.0,268
Q3AU90,1.7313,86.57,0.0,268
Q65DW1,1.7312,86.56,0.0,186
P64608,1.7308,86.54,0.0,260
Q65KV0,1.7308,86.54,0.0,104
Q7N1G0,1.7307,86.53,0.0,453
Q9KT86,1.7306,86.53,0.0,193
Q5P539,1.7306,86.53,0.0,193
B6IQX6,1.7302,86.51,0.0,126
P29647,1.7301,86.5,0.0,163
Q4L8N9,1.7301,86.5,0.0,452
A7MNR0,1.73,86.5,0.0,200
Q9K015,1.7298,86.49,0.0,459
Q9JV27,1.7298,86.49,0.0,459
P42171,1.7295,86.48,0.0,244
Q5HL71,1.7293,86.46,0.0,229
