UID,Fragment,IndDis_Score,H_cnt,E_cnt,C_cnt
>sp|A0A1B0GVG4|CC194_HUMAN,112-170,118,59,0,0
>sp|P12882|MYH1_HUMAN,1123-1210,116,78,0,10
>sp|P15311|EZRI_HUMAN,360-417,116,58,0,0
>sp|Q0VF96|CGNL1_HUMAN,971-1027,114,57,0,0
>sp|Q8N137|CNTRB_HUMAN,253-309,114,57,0,0
>sp|Q9ULE4|F184B_HUMAN,818-874,114,57,0,0
>sp|Q9UKX2|MYH2_HUMAN,1128-1212,110,75,0,10
>sp|Q96T51|RUFY1_HUMAN,470-524,110,55,0,0
>sp|Q9NTJ3|SMC4_HUMAN,425-497,110,67,0,6
>sp|Q9H4E7|DEFI6_HUMAN,377-431,110,55,0,0
>sp|A8MZA4|GG6L6_HUMAN,656-724,108,64,0,5
>sp|Q8IYW5|RN168_HUMAN,127-179,106,53,0,0
>sp|Q96CN9|GCC1_HUMAN,167-219,106,53,0,0
>sp|P07951|TPM2_HUMAN,105-157,106,53,0,0
>sp|Q13136|LIPA1_HUMAN,333-391,106,57,0,2
>sp|P13535|MYH8_HUMAN,1188-1248,104,58,0,3
>sp|Q06455|MTG8_HUMAN,456-507,104,52,0,0
>sp|Q9NRR5|UBQL4_HUMAN,176-275,104,84,0,16
>sp|Q9H1K0|RBNS5_HUMAN,480-531,104,52,0,0
>sp|O75081|MTG16_HUMAN,497-548,104,52,0,0
>sp|Q08378|GOGA3_HUMAN,881-941,104,58,0,3
>sp|Q4V328|GRAP1_HUMAN,535-586,104,52,0,0
>sp|Q6ZU80|CE128_HUMAN,699-750,104,52,0,0
>sp|P06753|TPM3_HUMAN,15-66,104,52,0,0
>sp|Q6UWE0|LRSM1_HUMAN,281-331,102,51,0,0
>sp|Q8N5G2|MACOI_HUMAN,394-459,102,61,0,5
>sp|Q569K6|CC157_HUMAN,346-396,102,51,0,0
>sp|Q9Y623|MYH4_HUMAN,1123-1203,102,71,0,10
>sp|Q9NQS7|INCE_HUMAN,583-639,102,55,0,2
>sp|Q3KQU3|MA7D1_HUMAN,163-212,100,50,0,0
>sp|Q9UKE5|TNIK_HUMAN,398-447,100,50,0,0
>sp|Q5T9A4|ATD3B_HUMAN,147-196,100,50,0,0
>sp|Q96IU2|ZBED3_HUMAN,149-197,98,49,0,0
>sp|Q5T9S5|CCD18_HUMAN,1137-1206,98,63,0,7
>sp|Q7Z406|MYH14_HUMAN,1137-1230,98,79,0,15
>sp|P15311|EZRI_HUMAN,301-349,98,49,0,0
>sp|Q1MSJ5|CSPP1_HUMAN,785-860,98,67,0,9
>sp|Q9HDC5|JPH1_HUMAN,351-405,98,53,0,2
>sp|P35579|MYH9_HUMAN,1172-1226,98,53,0,2
>sp|O95347|SMC2_HUMAN,770-818,98,49,0,0
>sp|P13805|TNNT1_HUMAN,107-154,96,48,0,0
>sp|Q13464|ROCK1_HUMAN,686-733,96,48,0,0
>sp|Q9BW19|KIFC1_HUMAN,154-201,96,48,0,0
>sp|Q9UL16|CFA45_HUMAN,285-332,96,48,0,0
>sp|Q6ZSZ5|ARHGI_HUMAN,1081-1128,96,48,0,0
>sp|Q9Y6D9|MD1L1_HUMAN,111-158,96,48,0,0
>sp|P67936|TPM4_HUMAN,74-121,96,48,0,0
>sp|P12270|TPR_HUMAN,231-278,96,48,0,0
>sp|P45378|TNNT3_HUMAN,111-158,96,48,0,0
>sp|Q8TES7|FBF1_HUMAN,981-1040,96,56,0,4
>sp|Q15075|EEA1_HUMAN,471-517,94,47,0,0
>sp|P35240|MERL_HUMAN,318-364,94,47,0,0
>sp|Q8NB25|F184A_HUMAN,532-578,94,47,0,0
>sp|Q8IYY4|DZI1L_HUMAN,337-383,94,47,0,0
>sp|Q6ZU80|CE128_HUMAN,249-295,94,47,0,0
>sp|Q8NCU4|CC191_HUMAN,682-727,92,46,0,0
>sp|Q86YS3|RFIP4_HUMAN,370-415,92,46,0,0
>sp|P33176|KINH_HUMAN,740-785,92,46,0,0
>sp|Q96JM4|LRIQ1_HUMAN,322-367,92,46,0,0
>sp|Q9H3P7|GCP60_HUMAN,183-228,92,46,0,0
>sp|A8MZA4|GG6L6_HUMAN,311-356,92,46,0,0
>sp|Q96J88|ESIP1_HUMAN,138-182,90,45,0,0
>sp|Q9BY12|SCAPE_HUMAN,693-737,90,45,0,0
>sp|Q7Z3E2|CC186_HUMAN,323-367,90,45,0,0
>sp|O14782|KIF3C_HUMAN,459-503,90,45,0,0
>sp|Q8TBY8|PMFBP_HUMAN,560-604,90,45,0,0
>sp|P30622|CLIP1_HUMAN,1166-1210,90,45,0,0
>sp|Q9H6N6|MYH16_HUMAN,283-326,88,44,0,0
>sp|Q9P2M7|CING_HUMAN,503-546,88,44,0,0
>sp|Q92805|GOGA1_HUMAN,195-238,88,44,0,0
>sp|Q4V328|GRAP1_HUMAN,412-455,88,44,0,0
>sp|Q0VF96|CGNL1_HUMAN,877-941,88,58,0,7
>sp|Q86YS3|RFIP4_HUMAN,422-465,88,44,0,0
>sp|Q969G5|CAVN3_HUMAN,64-106,86,43,0,0
>sp|Q0VF96|CGNL1_HUMAN,634-676,86,43,0,0
>sp|Q9Y5S2|MRCKB_HUMAN,585-627,86,43,0,0
>sp|Q8WXF1|PSPC1_HUMAN,284-326,86,43,0,0
>sp|Q4L180|FIL1L_HUMAN,284-326,86,43,0,0
>sp|Q8WW24|TEKT4_HUMAN,59-101,86,43,0,0
>sp|Q9H2K8|TAOK3_HUMAN,440-482,86,43,0,0
>sp|O75116|ROCK2_HUMAN,952-1000,86,47,0,2
>sp|P0DX01|GG6LY_HUMAN,343-385,86,43,0,0
>sp|Q14203|DCTN1_HUMAN,450-492,86,43,0,0
>sp|Q96G01|BICD1_HUMAN,465-507,86,43,0,0
>sp|Q15326|ZMY11_HUMAN,478-520,86,43,0,0
>sp|Q569K6|CC157_HUMAN,294-336,86,43,0,0
>sp|Q9Y623|MYH4_HUMAN,997-1038,84,42,0,0
>sp|Q4V328|GRAP1_HUMAN,353-394,84,42,0,0
>sp|A7E2Y1|MYH7B_HUMAN,1087-1131,84,44,0,1
>sp|H7BZ55|CRCC2_HUMAN,1214-1261,84,46,0,2
>sp|P40222|TXLNA_HUMAN,193-234,84,42,0,0
>sp|P42566|EPS15_HUMAN,349-390,84,42,0,0
>sp|Q9BX97|PLVAP_HUMAN,301-342,84,42,0,0
>sp|Q9H6N6|MYH16_HUMAN,185-226,84,42,0,0
>sp|O95995|DRC4_HUMAN,256-296,82,41,0,0
>sp|Q14980|NUMA1_HUMAN,1132-1217,82,71,0,15
>sp|Q5BJF6|ODFP2_HUMAN,756-796,82,41,0,0
>sp|P0DX53|GOG8G_HUMAN,106-146,82,41,0,0
>sp|P38646|HSPA9_HUMAN,557-612,82,51,0,5
>sp|Q5M9N0|CD158_HUMAN,761-801,82,41,0,0
>sp|Q92878|RAD50_HUMAN,516-556,82,41,0,0
>tr|A0AAG2TTZ7|A0AAG2TTZ7_HUMAN,86-126,82,41,0,0
>sp|A8MXQ7|IQAK1_HUMAN,84-133,82,47,0,3
>sp|P0DX52|GOG8F_HUMAN,94-134,82,41,0,0
>sp|A6NN73|GOG8C_HUMAN,86-126,82,41,0,0
>sp|Q9BZW7|TSG10_HUMAN,396-435,80,40,0,0
>sp|P0DX02|GG6LZ_HUMAN,297-336,80,40,0,0
>sp|Q15431|SYCP1_HUMAN,522-567,80,44,0,2
>sp|Q7Z406|MYH14_HUMAN,1070-1130,80,54,0,7
>sp|Q0VFZ6|CF210_HUMAN,200-239,80,40,0,0
>sp|P35241|RADI_HUMAN,301-340,80,40,0,0
>sp|Q13464|ROCK1_HUMAN,492-543,80,48,0,4
>sp|Q96A19|C102A_HUMAN,469-508,80,40,0,0
>sp|P0DX00|GG6LX_HUMAN,349-391,80,42,0,1
>sp|Q9UM54|MYO6_HUMAN,920-1013,80,76,0,18
>sp|O94804|STK10_HUMAN,894-936,80,42,0,1
>sp|Q96ED9|HOOK2_HUMAN,474-513,80,40,0,0
>sp|Q8N7Z2|GG6L1_HUMAN,323-362,80,40,0,0
>sp|Q6ZU80|CE128_HUMAN,383-422,80,40,0,0
>sp|Q6NSJ2|PHLB3_HUMAN,150-189,80,40,0,0
>sp|Q9UPV0|CE164_HUMAN,1119-1190,78,61,0,11
>sp|Q09013|DMPK_HUMAN,462-518,78,51,0,6
>sp|Q69YQ0|CYTSA_HUMAN,769-810,78,41,0,1
>sp|Q9UQN3|CHM2B_HUMAN,87-167,78,67,0,14
>sp|A6NC98|CC88B_HUMAN,829-869,76,40,0,1
>sp|P42566|EPS15_HUMAN,436-509,76,62,0,12
>sp|Q14789|GOGB1_HUMAN,1190-1233,76,42,0,2
>sp|O95347|SMC2_HUMAN,403-443,76,40,0,1
>sp|Q86SQ7|SDCG8_HUMAN,533-585,76,48,0,5
>sp|P59074|CHM4P_HUMAN,50-104,74,49,0,6
>sp|Q9UQE7|SMC3_HUMAN,338-383,74,43,0,3
>sp|Q96J88|ESIP1_HUMAN,243-297,74,49,0,6
>sp|P35579|MYH9_HUMAN,1114-1165,74,47,0,5
>sp|Q08378|GOGA3_HUMAN,958-999,72,40,0,2
>sp|O75116|ROCK2_HUMAN,501-560,72,52,0,8
>sp|Q9Y2K3|MYH15_HUMAN,1028-1093,72,56,0,10
>sp|O60610|DIAP1_HUMAN,1149-1192,70,41,0,3
>sp|O75116|ROCK2_HUMAN,815-864,70,45,0,5
>sp|Q5T0N5|FBP1L_HUMAN,391-464,70,61,0,13
>sp|Q9H169|STMN4_HUMAN,141-189,68,44,0,5
>sp|Q9UHD9|UBQL2_HUMAN,206-257,68,46,0,6
>sp|O75683|SURF6_HUMAN,299-340,66,39,0,3
>sp|Q14980|NUMA1_HUMAN,564-608,66,41,0,4
>sp|Q8N4C6|NIN_HUMAN,966-1021,64,48,0,8
>sp|O00461|GOLI4_HUMAN,122-164,62,39,0,4
>sp|Q96EU6|RRP36_HUMAN,152-215,62,53,0,11
>sp|Q96CS3|FAF2_HUMAN,300-339,62,37,0,3
>sp|Q9BT92|TCHP_HUMAN,161-200,62,37,0,3
>sp|P35749|MYH11_HUMAN,1121-1172,62,45,0,7
>sp|Q9Y2G4|ANKR6_HUMAN,682-727,62,41,0,5
>sp|A8MZ36|EVPLL_HUMAN,4-43,62,37,0,3
>sp|Q9NQR7|CC177_HUMAN,653-707,62,47,0,8
>sp|P60880|SNP25_HUMAN,167-206,62,37,0,3
>sp|Q8IUD2|RB6I2_HUMAN,788-841,60,46,0,8
>sp|O75420|GGYF1_HUMAN,687-728,60,38,0,4
>sp|Q9UIF8|BAZ2B_HUMAN,912-953,60,38,0,4
>sp|Q15642|CIP4_HUMAN,142-186,60,40,0,5
>sp|Q9UMX0|UBQL1_HUMAN,210-265,58,47,0,9
>sp|P35749|MYH11_HUMAN,924-970,58,41,0,6
>sp|Q5T1M5|FKB15_HUMAN,606-646,58,37,0,4
>sp|P17676|CEBPB_HUMAN,258-328,58,57,0,14
>sp|Q8N6M0|OTU6B_HUMAN,9-73,58,53,0,12
>sp|Q8N1L9|BATF2_HUMAN,7-59,58,45,0,8
>sp|P40855|PEX19_HUMAN,86-126,58,37,0,4
>sp|Q6ZUS6|CC149_HUMAN,11-59,56,42,0,7
>sp|Q9Y6D9|MD1L1_HUMAN,425-469,54,39,0,6
>sp|P49454|CENPF_HUMAN,1102-1155,54,45,0,9
>tr|A0A590UK10|A0A590UK10_HUMAN,827-874,54,41,0,7
>sp|Q2YD98|UVSSA_HUMAN,149-189,52,36,0,5
>sp|Q6NWY9|PR40B_HUMAN,322-362,52,36,0,5
>sp|Q9P219|DAPLE_HUMAN,567-613,52,40,0,7
>sp|Q8IUD2|RB6I2_HUMAN,390-432,50,37,0,6
>sp|Q5M9N0|CD158_HUMAN,683-734,50,43,0,9
>sp|Q9UJC3|HOOK1_HUMAN,477-520,46,37,0,7
>sp|Q8IUD2|RB6I2_HUMAN,712-751,44,34,0,6
>sp|Q6NZI2|CAVN1_HUMAN,243-290,42,39,0,9
>sp|Q8WYK2|JDP2_HUMAN,61-107,40,38,0,9
>sp|Q6DT37|MRCKG_HUMAN,764-807,40,36,0,8
>sp|B2RPK0|HGB1A_HUMAN,116-156,40,34,0,7
>sp|Q8TBA6|GOGA5_HUMAN,495-534,38,33,0,7
>sp|Q5TZA2|CROCC_HUMAN,1184-1223,38,33,0,7
>sp|Q9H4M7|PKHA4_HUMAN,379-420,36,34,0,8
>sp|P78312|F193A_HUMAN,1095-1135,34,33,0,8
